OBJECTID,A_AGE1,A_AGE2,A_AGE3,A_AGE4,A_AGE5,A_AGE6,A_AGE7,A_AGE8,A_AGE9,STATE,ST_CASE,VEH_NO,PER_NO,YEAR,A_PTYPE,A_RESTUSE,A_HELMUSE,A_ALCTES,A_HISP,A_RCAT,A_HRACE,A_EJECT,A_PERINJ,A_LOC,A_DOA
253,1,1,4,1,1,1,3,1,1,1,10115,1,3,2023,2,2,4,3,1,4,5,2,1,1,1
254,2,2,5,2,2,2,4,2,2,1,10115,1,4,2023,2,1,4,3,0,0,0,1,6,1,5
255,3,5,8,5,5,5,7,3,2,1,10116,1,1,2023,1,2,4,3,1,2,3,1,1,1,3
256,3,4,7,4,4,4,6,2,2,1,10117,0,1,2023,3,4,4,3,2,1,1,1,1,3,1
257,3,4,7,4,4,4,6,3,2,1,10117,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
258,2,2,5,2,2,2,4,1,2,1,10118,1,1,2023,1,2,4,3,1,2,3,2,1,1,3
259,1,1,1,1,1,1,1,1,1,1,10118,1,2,2023,2,1,4,3,0,0,0,2,6,1,5
260,3,4,7,4,4,4,6,2,2,1,10119,1,1,2023,1,2,4,3,1,2,3,2,1,1,3
261,3,5,8,5,5,5,7,4,2,1,10120,1,1,2023,1,2,4,1,0,0,0,1,6,1,5
262,4,5,10,6,7,7,9,5,2,1,10120,2,1,2023,1,1,4,1,1,2,3,1,1,1,1
263,4,5,10,6,7,7,9,6,2,1,10120,2,2,2023,2,1,4,1,1,2,3,1,1,1,1
264,3,5,9,6,6,6,8,4,2,1,10120,2,3,2023,2,2,4,3,0,0,0,1,6,1,5
265,4,5,10,6,7,7,9,5,2,1,10121,1,1,2023,1,2,4,1,1,1,2,1,1,1,3
266,2,3,6,3,3,3,5,2,2,1,10122,1,1,2023,1,1,4,2,0,0,0,1,6,1,5
267,4,5,10,6,7,7,9,6,2,1,10122,2,1,2023,1,1,4,1,1,1,2,1,1,1,3
268,2,3,6,3,3,3,5,2,2,1,10123,0,1,2023,3,4,4,1,1,1,2,1,1,3,1
269,2,3,6,3,3,3,5,2,2,1,10123,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
270,3,4,7,4,4,4,6,2,2,1,10124,1,1,2023,1,1,4,1,0,0,0,1,6,1,5
271,3,5,8,5,5,5,7,3,2,1,10124,1,2,2023,2,1,4,3,1,1,2,1,1,1,1
272,3,5,8,5,5,5,7,3,2,1,10124,2,1,2023,1,1,4,1,0,0,0,1,6,1,5
273,1,1,1,1,1,1,1,1,1,1,10124,2,2,2023,2,1,4,3,0,0,0,1,6,1,5
274,1,1,2,1,1,1,2,1,1,1,10124,2,3,2023,2,1,4,3,0,0,0,1,6,1,5
275,1,1,2,1,1,1,1,1,1,1,10124,2,4,2023,2,1,4,3,0,0,0,1,6,1,5
276,3,4,7,4,4,4,6,3,2,1,10125,1,1,2023,1,1,4,1,0,0,0,1,6,1,5
277,1,1,3,1,1,1,3,1,1,1,10125,1,2,2023,2,1,4,3,0,0,0,1,6,1,5
278,1,1,2,1,1,1,2,1,1,1,10125,1,3,2023,2,1,4,3,0,0,0,1,6,1,5
279,3,5,9,6,6,6,8,5,2,1,10125,2,1,2023,1,4,1,2,1,2,3,1,1,1,3
280,3,4,7,4,4,4,6,2,2,1,10126,1,1,2023,1,2,4,3,0,0,0,2,6,1,5
281,3,4,7,4,4,4,6,2,2,1,10126,2,1,2023,1,4,2,1,1,2,3,1,1,1,3
282,3,4,7,4,4,4,6,2,2,1,10127,1,1,2023,1,2,4,2,1,1,2,2,1,1,1
283,4,5,11,7,8,8,10,6,2,1,10128,1,1,2023,1,2,4,1,1,2,3,1,1,1,1
284,2,2,5,2,2,2,4,1,2,1,10128,2,1,2023,1,1,4,1,0,0,0,1,6,1,5
285,4,5,10,6,7,7,9,5,2,1,10129,0,1,2023,4,4,4,3,1,1,2,1,1,3,3
